timestamp,open,high,low,close,volume
2024-05-30 06:13:00,163.9,163.9,163.9,163.9,1298
2024-05-30 06:44:00,163.87,163.87,163.87,163.87,266
2024-05-30 06:47:00,163.8,163.8,163.8,163.8,150
2024-05-30 07:03:00,163.5,163.5,163.5,163.5,429
2024-05-30 07:48:00,163.89,164.0,163.89,164.0,960
2024-05-30 08:00:00,163.604,164.9884,163.604,164.9884,727
2024-05-30 08:02:00,163.0,163.62,163.0,163.62,415
2024-05-30 08:20:00,164.4955,164.4955,164.4955,164.4955,100
2024-05-30 08:41:00,164.05,164.05,164.05,164.05,413
2024-05-30 09:06:00,164.35,164.35,164.35,164.35,401
2024-05-30 09:14:00,164.35,164.35,164.35,164.35,433
2024-05-30 09:17:00,164.0,164.0,164.0,164.0,441
2024-05-30 09:28:00,163.5,163.5,163.5,163.5,659
2024-05-30 09:30:00,162.5,162.755,160.9,161.5,42108
2024-05-30 09:31:00,161.77,162.94,161.675,162.6692,9346
2024-05-30 09:32:00,162.66,163.0,162.36,162.8,3794
2024-05-30 09:33:00,162.825,162.99,161.78,161.88,21258
2024-05-30 09:34:00,161.81,162.0,161.07,161.79,10508
2024-05-30 09:35:00,161.64,161.7636,161.27,161.59,8150
2024-05-30 09:36:00,161.58,161.58,160.44,160.75,25685
2024-05-30 09:37:00,160.795,161.17,160.45,161.17,21446
2024-05-30 09:38:00,161.15,161.43,160.88,161.28,5336
2024-05-30 09:39:00,161.315,162.14,161.1738,161.19,15115
2024-05-30 09:40:00,161.26,161.98,161.02,161.7,7028
2024-05-30 09:41:00,161.68,161.96,161.13,161.42,19040
2024-05-30 09:42:00,161.345,161.725,161.13,161.63,7852
2024-05-30 09:43:00,161.88,162.19,161.37,161.37,10239
2024-05-30 09:44:00,161.365,161.365,160.52,161.17,19593
2024-05-30 09:45:00,161.25,161.25,160.75,160.955,9912
2024-05-30 09:46:00,160.905,161.2,160.75,160.97,11532
2024-05-30 09:47:00,161.0,161.76,160.98,161.125,8616
2024-05-30 09:48:00,161.37,161.44,161.1601,161.43,5987
2024-05-30 09:49:00,161.425,161.425,161.13,161.13,5745
2024-05-30 09:50:00,161.125,161.3,160.79,160.83,13133
2024-05-30 09:51:00,160.89,161.04,160.81,160.935,5374
2024-05-30 09:52:00,160.925,161.11,160.59,161.04,7529
2024-05-30 09:53:00,161.035,161.035,160.44,160.45,5363
2024-05-30 09:54:00,160.44,160.45,160.03,160.25,15968
2024-05-30 09:55:00,160.155,160.46,160.06,160.3889,7724
2024-05-30 09:56:00,160.26,160.69,160.18,160.39,11370
2024-05-30 09:57:00,160.64,160.99,160.55,160.85,3458
2024-05-30 09:58:00,160.93,161.0,160.81,160.9824,7465
2024-05-30 09:59:00,160.9999,161.36,160.9999,161.27,5890
2024-05-30 10:00:00,161.26,161.58,161.18,161.3861,8278
2024-05-30 10:01:00,161.31,161.39,161.0,161.02,11986
2024-05-30 10:02:00,161.1,161.475,161.04,161.16,6935
2024-05-30 10:03:00,160.99,161.17,160.81,160.93,13831
2024-05-30 10:04:00,161.02,161.18,160.98,160.98,6823
2024-05-30 10:05:00,160.83,161.0,160.78,161.0,5494
2024-05-30 10:06:00,160.8233,161.26,160.8233,161.25,9970
2024-05-30 10:07:00,161.2,161.26,161.045,161.105,3445
2024-05-30 10:08:00,161.06,161.14,160.86,161.14,5824
2024-05-30 10:09:00,161.08,161.32,160.92,160.92,6919
2024-05-30 10:10:00,160.92,161.0,160.76,160.82,6679
2024-05-30 10:11:00,160.835,160.84,160.5,160.75,3801
2024-05-30 10:12:00,160.585,160.585,159.86,159.88,28748
2024-05-30 10:13:00,159.9,160.0,159.67,159.8,8851
2024-05-30 10:14:00,159.88,160.25,159.83,160.23,8791
2024-05-30 10:15:00,160.2976,160.65,160.255,160.65,8152
2024-05-30 10:16:00,160.64,160.9,160.64,160.685,3927
